model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
qwen,exact,scientist_to_athlete,0.8373161764705881,0.9236600830463959,0.76,0.6746323529411764,0.6881496881496881,0.0
qwen,exact,scientist_to_building,0.9106978879706152,0.970793661307189,0.8662420382165605,0.7376033057851239,0.7749334425558059,0.0
qwen,exact,scientist_to_musician,0.724202626641651,0.7938508527423962,0.6236559139784946,0.5886491557223265,0.5655945549179234,0.0
qwen,attention,scientist,0.8353156669311007,0.8365205786725461,0.7563676633444075,0.7572597267023976,0.7563056352442259,0.4093344895826385
qwen,attention,trivia,0.902085110263549,0.8928585633191856,0.8253333333333334,0.825032051797851,0.824548157290146,0.40099910527885474
qwen,attention,gsm8k,0.8019415155634612,0.929218250485763,0.7572540693559802,0.716119854544143,0.6826496770261589,0.35644452417257155
qwen,attention,scientist_to_all,0.7608968746431155,0.8755215958659126,0.7314285714285714,0.6140317484487419,0.619212962962963,0.3080791693705386
qwen,attention,scientist_to_athlete,0.7541360294117647,0.8665851280553063,0.71,0.6047794117647058,0.6080551425868361,0.3080791693705386
qwen,attention,scientist_to_building,0.8149678604224059,0.9329797923761936,0.821656050955414,0.6598943985307621,0.6868945868945869,0.3080791693705386
qwen,attention,scientist_to_musician,0.6575984990619137,0.7203127449451755,0.6021505376344086,0.5642589118198874,0.5320277437780498,0.3080791693705386
qwen,gradient,scientist,0.8303374896460731,0.8316056647831337,0.748892580287929,0.7502439334510848,0.7488785433949096,0.4658017032441687
qwen,gradient,trivia,0.8984682191001893,0.8936298138473968,0.8206666666666665,0.8200834687823536,0.8197827744694438,0.4357739337906352
qwen,gradient,gsm8k,0.7934017327552972,0.9236061699605678,0.7469922151450814,0.7028694391653197,0.6703438855629503,0.45084760965108983
qwen,gradient,scientist_to_all,0.8114888271346454,0.9057750004433951,0.7628571428571429,0.6519281282119609,0.6652415907074292,0.445489941596366
qwen,gradient,scientist_to_athlete,0.7909007352941176,0.8960360380565411,0.73,0.6194852941176471,0.6245306633291614,0.445489941596366
qwen,gradient,scientist_to_building,0.8723599632690542,0.9541227094883481,0.8598726114649682,0.7432277318640955,0.7733595800524935,0.445489941596366
qwen,gradient,scientist_to_musician,0.700281425891182,0.7661002988639639,0.6344086021505376,0.5931050656660413,0.5563973063973064,0.445489941596366
